route,gewicht,ldm,ax_erloese_fracht,dlv_soll,delta
6011,8214.0000,13.6000,920.0000,1015.4300,-95.4300
2321,10000.0000,13.6000,1100.0000,1137.7600,-37.7600
6011,8328.0000,13.6000,920.0000,1015.4300,-95.4300
1403,6867.0000,13.6000,2380.0000,,
6011,2227.0000,6.4000,477.0000,516.6282,-39.6282
6011,8193.0000,13.6000,920.0000,1015.4300,-95.4300
1403,7000.0000,13.6000,0.0000,,
6011,6857.0000,13.6000,920.0000,1015.4300,-95.4300
0617,1600.0000,5.2000,1871.9000,1896.6076,-24.7076
6011,2329.0000,4.8000,695.0000,,
2321,617.5000,2.4000,494.0000,500.6635,-6.6635
0617,7000.0000,13.6000,3505.0000,3569.6200,-64.6200
6011,7097.0000,13.6000,920.0000,1015.4300,-95.4300
0617,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0273,1908.0000,2.4000,660.0000,660.0000,0.0000
6011,2519.0000,2.4000,0.0000,,
0617,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
6011,7682.0000,13.6000,920.0000,1015.4300,-95.4300
6011,7603.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4326.4000,13.6000,1100.0000,1137.7600,-37.7600
2321,4326.4000,13.6000,1100.0000,1137.7600,-37.7600
6011,6868.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4326.4000,13.6000,1100.0000,1137.7600,-37.7600
2321,4326.4000,13.6000,1100.0000,1137.7600,-37.7600
CHN,18000.0000,13.6000,1195.0000,,
2321,3895.0000,13.6000,960.0000,1137.7600,-177.7600
6011,7295.0000,13.6000,920.0000,1015.4300,-95.4300
6011,4281.0000,13.6000,645.0000,,
1403,7000.0000,13.6000,2380.0000,,
6011,8152.0000,13.6000,920.0000,1015.4300,-95.4300
6011,7000.0000,10.4000,975.0000,,
0273,399.0000,1.2000,350.0000,350.0000,0.0000
0617,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,1164.0000,3.6000,571.0000,580.9953,-9.9953
